owner,name,createdAt,pushedAt,isMirror,diskUsage,primaryLanguage,languages,contributors,watchers,stargazers,forks,issues,commits,pullRequests,branches,tags,releases,description
freeCodeCamp,freeCodeCamp,2014-12-24 17:49:19,2024-06-30 11:33:49,False,447405,TypeScript,8,5055,8513,392230,36070,18045,35794,36612,4,0,0,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.
facebook,react,2013-05-24 16:15:54,2024-06-30 13:56:34,False,518264,JavaScript,12,1743,6629,224747,45839,13026,18980,15440,198,143,101,The library for web and native user interfaces.
tensorflow,tensorflow,2015-11-07 01:19:20,2024-06-30 13:18:33,False,1035775,C++,25,3726,7625,183820,74031,39429,166349,30605,1288,210,206,An Open Source Machine Learning Framework for Everyone
twbs,bootstrap,2011-07-29 21:19:00,2024-06-25 17:28:00,False,261489,JavaScript,5,1387,6747,167976,78522,22412,22817,15206,105,89,89,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
flutter,flutter,2015-03-06 22:54:58,2024-06-30 13:30:55,False,139026,Dart,17,1483,3529,163038,26813,96069,41403,54003,760,961,7,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
microsoft,vscode,2015-09-03 20:23:38,2024-06-30 14:21:56,False,925323,TypeScript,45,2056,3286,160136,28041,178754,122689,30655,976,289,134,Visual Studio Code
ytdl-org,youtube-dl,2010-10-31 14:35:07,2024-06-24 20:20:25,False,64979,Python,5,801,2199,129659,9771,26527,18845,4922,9,1119,341,Command-line program to download videos from YouTube.com and other video sites
huggingface,transformers,2018-10-29 13:56:00,2024-06-30 10:56:46,False,229162,Python,9,2657,1098,128341,25459,15100,16247,16200,497,165,155,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX."
vercel,next.js,2016-10-05 23:32:51,2024-06-30 07:04:52,False,1988539,JavaScript,10,3363,1456,122606,26241,20645,21388,22341,594,2715,1000,The React Framework
golang,go,2014-08-19 04:33:40,2024-06-29 12:06:08,False,355948,Go,12,2136,3433,120993,17359,62338,60367,4013,59,420,0,The Go programming language
facebook,react-native,2015-01-09 18:10:16,2024-06-30 10:27:23,False,886857,C++,14,2744,3612,116875,24049,25802,32165,17598,114,533,323,A framework for building native applications using React
electron,electron,2013-04-12 01:47:36,2024-06-29 18:09:15,False,153817,C++,11,1266,2853,112664,15102,19788,28306,22138,193,2804,1000,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
kubernetes,kubernetes,2014-06-06 22:56:04,2024-06-30 14:45:49,False,1280529,Go,10,3845,3235,108167,38832,45323,123607,80055,54,1101,678,Production-Grade Container Scheduling and Management
nodejs,node,2014-11-26 19:57:11,2024-06-30 11:06:31,False,1144406,JavaScript,13,3450,2931,105038,28449,17807,41639,33756,51,836,394,Node.js JavaScript runtime ✨🐢🚀✨
mrdoob,three.js,2010-03-23 18:58:01,2024-06-30 13:03:52,False,1366649,JavaScript,5,1895,2546,100227,35185,12368,43590,16194,10,158,158,JavaScript 3D Library.
microsoft,TypeScript,2014-06-17 15:28:39,2024-06-30 04:07:56,False,2644423,TypeScript,4,788,2135,98960,12284,40300,36070,17730,310,215,195,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
angular,angular,2014-09-18 16:12:01,2024-06-30 02:18:10,False,503445,TypeScript,8,1941,3016,95129,24919,27603,30445,27603,93,999,334,Deliver web apps with confidence 🚀
rust-lang,rust,2010-06-16 20:39:03,2024-06-30 14:41:45,False,1312363,Rust,23,4996,1485,94674,12194,53301,259138,73504,6,135,127,Empowering everyone to build reliable and efficient software.
denoland,deno,2018-05-15 01:34:26,2024-06-30 14:20:40,False,129980,Rust,7,929,1416,93357,5176,10185,11656,13078,101,334,282,A modern runtime for JavaScript and TypeScript.
mui,material-ui,2014-08-18 19:11:54,2024-06-30 14:26:13,False,557747,TypeScript,4,2926,1346,92367,31812,19054,24948,22549,49,477,470,"Material UI: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design."
ant-design,ant-design,2015-04-24 15:37:24,2024-06-30 13:35:52,False,191754,TypeScript,5,2144,237,90893,47366,29567,28027,17511,19,709,656,An enterprise-class UI design language and React UI library
godotengine,godot,2014-01-04 16:05:36,2024-06-30 14:42:28,False,1363641,C++,15,2543,1517,86198,19172,50677,65235,42029,13,57,56,Godot Engine – Multi-platform 2D and 3D game engine
storybookjs,storybook,2016-03-18 04:23:44,2024-06-29 17:48:02,False,862840,TypeScript,12,1906,943,83342,9107,12519,60711,12436,523,1707,1000,"Storybook is a frontend workshop for building UI components and pages in isolation. Made for UI development, testing, and documentation. "
iptv-org,iptv,2018-11-14 22:00:57,2024-06-30 13:00:55,False,626507,JavaScript,2,298,1866,80809,2026,7985,30008,6928,7,0,0,Collection of publicly available IPTV channels from all over the world
pytorch,pytorch,2016-08-13 05:26:41,2024-06-30 14:45:53,False,946926,Python,24,3402,1729,79952,21505,42911,75004,86584,6677,1053,53,Tensors and Dynamic neural networks in Python with strong GPU acceleration
neovim,neovim,2014-01-31 13:39:22,2024-06-30 13:48:19,False,275980,Vim Script,17,1297,981,79572,5482,11422,30035,17684,9,45,37,Vim-fork focused on extensibility and usability
bitcoin,bitcoin,2010-12-19 15:16:43,2024-06-30 14:47:19,False,262278,C++,16,953,3992,77024,35582,8024,41437,20905,5,312,50,Bitcoin Core integration/staging tree
opencv,opencv,2012-07-19 09:40:17,2024-06-30 11:32:56,False,535710,C++,19,1597,2659,76728,55656,10604,34329,15065,6,125,63,Open Source Computer Vision Library
spring-projects,spring-boot,2012-10-19 15:02:57,2024-06-30 11:17:42,False,174304,Java,13,1100,3360,73538,40308,34504,49394,6287,20,316,277,Spring Boot
home-assistant,core,2013-09-17 07:29:48,2024-06-30 14:46:08,False,634124,Python,6,3762,1337,69674,28834,49862,79547,70220,232,1290,1000,:house_with_garden: Open source home automation that puts local control and privacy first.
netdata,netdata,2013-06-17 18:39:10,2024-06-30 00:18:45,False,202020,C,16,584,1362,69374,5792,7853,18125,9731,29,102,87,The open-source observability platform everyone needs!
elastic,elasticsearch,2010-02-08 13:20:56,2024-06-30 14:42:56,False,1206777,Java,20,3532,2685,68500,24330,35453,78237,74504,345,398,149,"Free and Open, Distributed, RESTful Search Engine"
moby,moby,2013-01-18 18:10:57,2024-06-30 12:31:56,False,214221,Go,9,2268,2901,68030,18572,22544,49467,25016,16,425,180,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
swiftlang,swift,2015-10-23 21:15:07,2024-06-30 14:14:53,False,1160817,C++,20,1223,2494,66664,10277,15125,169544,55976,512,2591,53,The Swift Programming Language
redis,redis,2009-03-21 22:32:25,2024-06-30 14:36:32,False,139537,C,9,715,2542,65512,23568,6468,12170,6587,85,305,68,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
nestjs,nest,2017-02-04 20:12:52,2024-06-30 13:49:45,False,312887,TypeScript,3,466,745,65501,7453,5303,16049,8088,167,287,96,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀"
protocolbuffers,protobuf,2014-08-26 15:52:15,2024-06-30 09:10:34,False,161755,C++,26,1054,2052,64440,15350,6162,17955,10914,175,299,159,Protocol Buffers - Google's data interchange format
webpack,webpack,2012-03-10 10:08:14,2024-06-30 10:17:56,False,64897,JavaScript,9,828,1481,64315,8733,9839,17010,6835,83,621,413,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff."
microsoft,playwright,2019-11-15 18:32:42,2024-06-30 11:21:48,False,158690,TypeScript,17,10000,464,63628,3440,13608,12764,14375,29,126,126,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. "
ansible,ansible,2012-03-06 14:58:02,2024-06-28 19:28:10,False,253899,Python,9,5590,1918,61725,23748,32311,54469,50898,52,576,90,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
strapi,strapi,2015-09-30 15:34:48,2024-06-28 20:27:04,False,500450,TypeScript,6,969,668,61520,7698,9266,33903,10327,54,379,367,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable and developer-first."
grafana,grafana,2013-12-11 15:59:56,2024-06-30 09:02:38,False,1101190,TypeScript,21,2852,1264,61379,11722,36156,52144,50922,4449,492,434,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. "
keras-team,keras,2015-03-28 00:35:42,2024-06-30 05:19:43,False,42562,Python,2,1246,1910,61247,19369,11967,10787,7281,29,97,69,Deep Learning for humans
python,cpython,2017-02-10 19:23:51,2024-06-30 14:06:27,False,614682,Python,23,2743,1515,60762,29331,68177,122772,52272,8,578,0,The Python programming language
apache,superset,2015-07-21 18:55:34,2024-06-30 14:29:53,False,894390,TypeScript,14,1134,1507,60339,13013,10409,15519,16308,204,496,202,Apache Superset is a Data Visualization and Data Exploration Platform
scikit-learn,scikit-learn,2010-08-17 09:43:38,2024-06-30 01:35:33,False,160435,Python,10,2876,2139,58753,25116,10969,31453,17406,30,142,41,scikit-learn: machine learning in Python
spring-projects,spring-framework,2010-12-08 04:04:45,2024-06-30 14:00:03,False,210451,Java,15,888,3343,55599,37744,25490,30521,4790,19,305,302,Spring Framework
rails,rails,2008-04-11 02:19:47,2024-06-30 07:55:26,False,279703,Ruby,8,4996,2340,55254,21409,17367,92077,34529,52,529,121,Ruby on Rails
gatsbyjs,gatsby,2015-05-21 22:43:05,2024-06-29 07:22:35,False,1143370,JavaScript,13,3986,741,55132,10329,14048,21665,22158,440,35995,134,"The best React-based framework with performance, scalability and security built in."
prometheus,prometheus,2012-11-24 11:14:12,2024-06-30 11:42:27,False,201546,Go,11,918,1126,53643,8894,5619,13127,8240,190,409,303,The Prometheus monitoring system and time series database.
ionic-team,ionic-framework,2013-08-20 23:06:02,2024-06-28 23:07:44,False,1298328,TypeScript,9,507,1598,50631,13514,21674,13904,7710,151,908,875,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript."
DefinitelyTyped,DefinitelyTyped,2012-10-05 16:39:45,2024-06-30 09:29:51,False,691391,TypeScript,3,9974,653,47631,29914,8024,87217,59087,9,1,1,The repository for high quality TypeScript type definitions.
mozilla,pdf.js,2011-04-26 06:32:03,2024-06-30 14:15:22,False,142428,JavaScript,5,389,1119,47075,9810,9711,19180,8386,1,83,62,PDF Reader in JavaScript
etcd-io,etcd,2013-07-06 21:57:21,2024-06-30 06:50:55,False,83493,Go,6,865,1326,46775,9638,6609,21560,11255,16,468,236,Distributed reliable key-value store for the most critical data of a distributed system
ethereum,go-ethereum,2013-12-26 13:05:46,2024-06-30 10:15:38,False,210502,Go,14,1072,2206,46642,19666,8014,15273,10479,45,239,196,Go implementation of the Ethereum protocol
cypress-io,cypress,2015-03-04 00:46:28,2024-06-30 01:00:19,False,702007,JavaScript,11,510,610,46397,3133,14195,20573,7576,2219,739,341,"Fast, easy and reliable testing for anything that runs in a browser."
mastodon,mastodon,2016-02-22 15:01:25,2024-06-30 04:26:02,False,240327,Ruby,11,926,706,46326,6785,10975,16523,17814,85,254,244,"Your self-hosted, globally interconnected microblogging community"
serverless,serverless,2015-04-21 03:48:40,2024-06-28 16:13:37,False,99502,JavaScript,5,1036,941,46305,5690,6246,16013,5535,32,406,387,"⚡ Serverless Framework – Use AWS Lambda and other managed cloud services to build apps that auto-scale, cost nothing when idle, and boast radically low maintenance."
TryGhost,Ghost,2013-05-04 11:09:13,2024-06-30 13:45:49,False,294079,JavaScript,9,612,1031,46179,10101,6861,38763,13515,163,1636,781,"Independent technology for modern publishing, memberships, subscriptions and newsletters."
minio,minio,2015-01-14 19:23:58,2024-06-29 16:45:34,False,131640,Go,6,469,619,45302,5295,7299,12067,10637,4,485,484,The Object Store for AI Data Infrastructure
JuliaLang,julia,2011-04-21 07:01:50,2024-06-30 03:41:02,False,305573,Julia,18,1499,929,44943,5420,24945,57170,29549,877,165,160,The Julia Programming Language
meteor,meteor,2012-01-19 01:58:17,2024-06-29 21:32:02,False,127531,JavaScript,16,729,1554,44135,5158,9040,34802,3912,1706,1546,0,"Meteor, the JavaScript App Platform"
laurent22,joplin,2017-01-16 21:49:41,2024-06-29 20:52:26,False,449723,TypeScript,18,607,480,44086,4767,6369,11540,4215,241,1201,340,"Joplin - the secure note taking and to-do app with synchronisation capabilities for Windows, macOS, Linux, Android and iOS."
PowerShell,PowerShell,2016-01-13 23:41:35,2024-06-25 04:07:43,False,93338,C#,9,463,1410,43971,7119,12228,10647,8531,10,181,168,PowerShell for every system!
babel,babel,2014-09-28 13:38:23,2024-06-29 07:08:35,False,113646,TypeScript,6,1095,813,43033,5596,8786,16430,7050,15,855,397,🐠 Babel is a compiler for writing next generation JavaScript.
go-gitea,gitea,2016-11-01 02:13:26,2024-06-30 12:40:43,False,285224,Go,13,1374,498,42971,5298,13224,18235,18071,17,211,193,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD"
pandas-dev,pandas,2010-08-24 01:37:33,2024-06-30 09:19:05,False,356857,Python,10,3239,1113,42559,17560,26570,35191,32535,18,176,108,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
hashicorp,terraform,2014-03-13 22:25:48,2024-06-29 07:36:45,False,311071,Go,6,2733,1173,41605,9404,20822,32976,14206,730,342,311,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned."
grpc,grpc,2014-12-08 18:58:53,2024-06-30 07:49:56,False,521505,C++,24,906,1367,41133,10427,11319,55258,25514,246,352,305,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)"
vuetifyjs,vuetify,2016-09-12 00:39:35,2024-06-30 02:58:31,False,88701,TypeScript,7,974,592,39304,6933,13908,15997,5245,127,569,556,🐉 Vue Component Framework
